,Date,Low,High,Close,Open,Adjusted Close
3301,2018-11-06,34.8399,35.96,35.17,35.6,35.17
3300,2018-11-05,35.13,36.52,35.72,36.35,35.72
3299,2018-11-02,35.64,37.46,36.33,36.59,36.2286
3298,2018-11-01,35.07,36.47,36.37,35.3,36.2685
3297,2018-10-31,34.81,35.9,35.08,35.16,34.9821
3296,2018-10-30,32.33,34.78,34.66,32.44,34.5632
3295,2018-10-29,31.95,33.995,32.6,33.14,32.509
3294,2018-10-26,31.3,33.01,32.46,31.4,32.3694
3293,2018-10-25,31.12,33.33,32.37,31.19,32.2796
3292,2018-10-24,30.24,32.75,30.34,32.48,30.2553
3291,2018-10-23,30.6,32.44,32.38,31.53,32.2896
3290,2018-10-22,31.82,32.52,32.16,32.27,32.0702
3289,2018-10-19,31.81,32.65,32.04,32.09,31.9506
3288,2018-10-18,31.87,33.759,32.06,33.58,31.9705
3287,2018-10-17,33.53,35.4,33.57,34.45,33.4763
3286,2018-10-16,31.98,33.44,33.28,32.06,33.1871
3285,2018-10-15,30.82,32.24,31.78,31.0,31.6913
3284,2018-10-12,30.81,32.13,30.91,31.97,30.8237
3283,2018-10-11,30.75,32.75,31.27,32.3,31.1827
3282,2018-10-10,31.59,33.4,31.61,33.33,31.5218
3281,2018-10-09,33.41,36.39,33.55,36.3,33.4563
3280,2018-10-08,35.6,36.85,35.9,36.44,35.7998
3279,2018-10-05,36.21,38.1275,36.44,37.93,36.3383
3278,2018-10-04,37.48,39.01,37.92,38.8,37.8141
3277,2018-10-03,38.42,39.26,38.8,38.7,38.6917
3276,2018-10-02,38.4,39.6,38.5,39.6,38.3925
3275,2018-10-01,39.6,41.75,39.61,41.41,39.4994
3274,2018-09-28,40.7,41.955,41.33,41.37,41.2146
3273,2018-09-27,41.15,42.2,41.5,41.23,41.3841
3272,2018-09-26,40.78,41.48,41.04,40.84,40.9254
3271,2018-09-25,40.27,42.19,40.81,42.0,40.6961
3270,2018-09-24,41.85,43.3,41.98,43.27,41.8628
3269,2018-09-21,41.99,43.89,43.6,42.04,43.4783
3268,2018-09-20,41.19,42.17,41.89,41.82,41.7731
