,Date,Low,High,Close,Open,Adjusted Close
5246,2018-11-06,201.75,204.7134,202.05,201.92,202.05
5245,2018-11-05,198.17,204.39,201.59,204.3,201.59
5244,2018-11-02,205.43,213.65,207.48,209.55,207.48
5243,2018-11-01,216.81,222.36,222.22,219.05,222.22
5242,2018-10-31,216.62,220.45,218.86,216.88,218.86
5241,2018-10-30,209.27,215.18,213.3,211.15,213.3
5240,2018-10-29,206.09,219.69,212.24,219.19,212.24
5239,2018-10-26,212.67,220.19,216.3,215.9,216.3
5238,2018-10-25,216.75,221.38,219.8,217.71,219.8
5237,2018-10-24,214.54,224.23,215.09,222.6,215.09
5236,2018-10-23,214.7,223.25,222.73,215.83,222.73
5235,2018-10-22,218.94,223.36,220.65,219.79,220.65
5234,2018-10-19,217.43,221.26,219.31,218.06,219.31
5233,2018-10-18,213.0,219.74,216.02,217.86,216.02
5232,2018-10-17,219.34,222.64,221.19,222.3,221.19
5231,2018-10-16,216.7627,222.99,222.15,218.93,222.15
5230,2018-10-15,217.27,221.83,217.36,221.16,217.36
5229,2018-10-12,216.84,222.88,222.11,220.42,222.11
5228,2018-10-11,212.32,219.5,214.45,214.52,214.45
5227,2018-10-10,216.05,226.35,216.36,225.46,216.36
5226,2018-10-09,222.2462,227.27,226.87,223.64,226.87
5225,2018-10-08,220.2,224.8,223.77,222.21,223.77
5224,2018-10-05,220.58,228.41,224.29,227.96,224.29
5223,2018-10-04,226.73,232.35,227.99,230.78,227.99
5222,2018-10-03,229.78,233.47,232.07,230.05,232.07
5221,2018-10-02,226.63,230.0,229.28,227.25,229.28
5220,2018-10-01,226.35,229.42,227.26,227.95,227.26
5219,2018-09-28,224.02,225.84,225.74,224.79,225.74
5218,2018-09-27,223.54,226.44,224.95,223.82,224.95
5217,2018-09-26,219.76,223.75,220.42,221.0,220.42
5216,2018-09-25,219.7,222.82,222.19,219.75,222.19
5215,2018-09-24,216.63,221.26,220.79,216.82,220.79
5214,2018-09-21,217.29,221.36,217.66,220.78,217.66
5213,2018-09-20,219.15,222.28,220.03,220.24,220.03
5212,2018-09-19,215.3,219.62,218.37,218.5,218.37
5211,2018-09-18,217.12,221.85,218.24,217.79,218.24
5210,2018-09-17,217.27,222.95,217.88,222.15,217.88
5209,2018-09-14,222.522,226.84,223.84,225.75,223.84
5208,2018-09-13,222.57,228.35,226.41,223.52,226.41
5207,2018-09-12,219.84,225.0,221.07,224.94,221.07
5206,2018-09-11,216.56,224.299,223.85,218.01,223.85
5205,2018-09-10,216.47,221.85,218.33,220.95,218.33
5204,2018-09-07,220.71,225.37,221.3,221.85,221.3
5203,2018-09-06,221.3,227.35,223.1,226.23,223.1
5202,2018-09-05,225.1,229.67,226.87,228.99,226.87
5201,2018-09-04,226.63,229.18,228.36,228.41,228.36
5200,2018-08-31,226.0,228.87,227.63,226.51,227.63
5199,2018-08-30,222.4,228.26,225.03,223.25,225.03
5198,2018-08-29,219.41,223.49,222.98,220.15,222.98
5197,2018-08-28,218.92,220.54,219.7,219.01,219.7
5196,2018-08-27,216.33,218.74,217.94,217.15,217.94
5195,2018-08-24,215.11,216.9,216.16,216.6,216.16
5194,2018-08-23,214.6,217.05,215.49,214.65,215.49
5193,2018-08-22,213.84,216.36,215.05,214.1,215.05
5192,2018-08-21,214.025,217.19,215.04,216.8,215.04
5191,2018-08-20,215.11,219.18,215.46,218.1,215.46
5190,2018-08-17,213.16,217.95,217.58,213.44,217.58
5189,2018-08-16,211.47,213.8121,213.32,211.75,213.32
5188,2018-08-15,208.33,210.74,210.24,209.22,210.24
5187,2018-08-14,208.26,210.56,209.75,210.155,209.75
5186,2018-08-13,207.7,210.952,208.87,207.7,208.87
5185,2018-08-10,206.67,209.1,207.53,207.36,207.53
5184,2018-08-09,207.2,209.78,208.88,207.28,208.1478
5183,2018-08-08,204.52,207.81,207.25,206.05,206.5235
5182,2018-08-07,206.76,209.5,207.11,209.32,206.384
5181,2018-08-06,207.07,209.25,209.07,208.0,208.3372
5180,2018-08-03,205.4803,208.74,207.99,207.03,207.2609
5179,2018-08-02,200.35,208.38,207.39,200.58,206.663
5178,2018-08-01,197.31,201.76,201.5,199.13,200.7937
5177,2018-07-31,189.34,192.14,190.29,190.3,189.623
5176,2018-07-30,189.07,192.2,189.91,191.9,189.2443
5175,2018-07-27,190.1,195.19,190.98,194.99,190.3106
5174,2018-07-26,193.61,195.96,194.21,194.61,193.5292
5173,2018-07-25,192.43,194.85,194.82,193.0602,194.1371
5172,2018-07-24,192.05,193.6601,193.0,192.45,192.3235
5171,2018-07-23,189.56,191.96,191.61,190.68,190.9384
5170,2018-07-20,190.17,192.43,191.44,191.78,190.769
5169,2018-07-19,189.69,192.55,191.88,189.69,191.2074
5168,2018-07-18,189.93,191.8,190.4,191.78,189.7326
5167,2018-07-17,189.2,191.87,191.45,189.75,190.7789
5166,2018-07-16,190.415,192.65,190.91,191.52,190.2408
5165,2018-07-13,190.9,191.84,191.33,191.08,190.6593
5164,2018-07-12,189.31,191.41,191.03,189.53,190.3604
5163,2018-07-11,187.61,189.7799,187.88,188.5,187.2214
5162,2018-07-10,190.1801,191.28,190.35,190.71,189.6828
5161,2018-07-09,189.3,190.68,190.58,189.5,189.912
5160,2018-07-06,185.2,188.434,187.97,185.42,187.3111
5159,2018-07-05,184.28,186.41,185.4,185.26,184.7501
5158,2018-07-03,183.54,187.95,183.92,187.79,183.2753
5157,2018-07-02,183.42,187.3,187.18,183.82,186.5239
5156,2018-06-29,182.91,187.19,185.11,186.29,184.4611
5155,2018-06-28,183.8,186.21,185.5,184.1,184.8498
5154,2018-06-27,184.03,187.28,184.16,185.2278,183.5145
5153,2018-06-26,182.54,186.53,184.43,182.99,183.7835
5152,2018-06-25,180.73,184.92,182.17,183.4,181.5315
5151,2018-06-22,184.7,186.15,184.92,186.12,184.2718
5150,2018-06-21,184.94,188.35,185.46,187.25,184.8099
5149,2018-06-20,185.73,187.2,186.5,186.35,185.8463
5148,2018-06-19,183.45,186.33,185.69,185.14,185.0391
5147,2018-06-18,187.2,189.22,188.74,187.88,188.0784
5146,2018-06-15,188.26,190.16,188.84,190.03,188.1781
5145,2018-06-14,190.22,191.57,190.8,191.55,190.1312
5144,2018-06-13,190.44,192.88,190.7,192.42,190.0316
5143,2018-06-12,191.15,192.611,192.28,191.385,191.606
5142,2018-06-11,190.21,191.97,191.23,191.35,190.5597
5141,2018-06-08,189.77,192.0,191.7,191.17,191.028
5140,2018-06-07,192.335,194.2,193.46,194.14,192.7819
5139,2018-06-06,191.92,194.08,193.98,193.63,193.3001
5138,2018-06-05,192.36,193.94,193.31,193.065,192.6324
5137,2018-06-04,191.35,193.42,191.83,191.635,191.1576
5136,2018-06-01,187.75,190.26,190.24,187.9912,189.5732
5135,2018-05-31,186.14,188.23,186.87,187.22,186.215
5134,2018-05-30,186.78,188.0,187.5,187.72,186.8428
5133,2018-05-29,186.87,188.75,187.9,187.6,187.2414
5132,2018-05-25,187.65,189.65,188.58,188.23,187.919
5131,2018-05-24,186.21,188.84,188.15,188.77,187.4905
5130,2018-05-23,185.76,188.5,188.36,186.35,187.6998
5129,2018-05-22,186.78,188.88,187.16,188.375,186.504
5128,2018-05-21,186.9106,189.27,187.63,188.0,186.9723
5127,2018-05-18,186.13,187.8102,186.31,187.19,185.6569
5126,2018-05-17,186.36,188.91,186.99,188.0,186.3346
5125,2018-05-16,186.0,188.46,188.18,186.07,187.5204
5124,2018-05-15,185.1,187.07,186.44,186.78,185.7865
5123,2018-05-14,187.86,189.53,188.15,189.01,187.4905
5122,2018-05-11,187.45,190.06,188.59,189.49,187.9289
5121,2018-05-10,187.65,190.37,190.04,187.74,188.6437
5120,2018-05-09,185.22,187.4,187.36,186.55,185.9833
5119,2018-05-08,183.665,186.22,186.05,184.99,184.683
5118,2018-05-07,184.75,187.67,185.16,185.18,183.7995
5117,2018-05-04,178.17,184.25,183.83,178.25,182.4793
5116,2018-05-03,174.4411,177.5,176.89,175.88,175.5903
5115,2018-05-02,173.8,177.75,176.57,175.225,175.2726
5114,2018-05-01,165.27,169.2,169.1,166.4102,167.8575
5113,2018-04-30,161.84,167.26,165.26,162.1302,164.0457
5112,2018-04-27,160.63,164.33,162.32,164.0,161.1273
5111,2018-04-26,163.37,165.73,164.22,164.12,163.0134
5110,2018-04-25,162.41,165.42,163.65,162.62,162.4476
5109,2018-04-24,161.2201,166.33,162.94,165.67,161.7428
5108,2018-04-23,164.09,166.92,165.24,166.8348,164.0259
5107,2018-04-20,165.43,171.2184,165.72,170.595,164.5024
5106,2018-04-19,172.66,175.39,172.8,174.95,171.5303
5105,2018-04-18,176.88,178.82,177.84,177.81,176.5333
5104,2018-04-17,176.41,178.9365,178.24,176.49,176.9304
5103,2018-04-16,174.8301,176.19,175.82,175.0301,174.5281
5102,2018-04-13,173.85,175.84,174.73,174.78,173.4461
5101,2018-04-12,173.04,175.0,174.14,173.41,172.8605
5100,2018-04-11,171.7,173.9232,172.44,172.23,171.173
5099,2018-04-10,171.53,174.0,173.25,173.0,171.977
5098,2018-04-09,169.845,173.09,170.05,169.88,168.8005
5097,2018-04-06,168.2,172.48,168.38,170.97,167.1428
5096,2018-04-05,172.08,174.2304,172.8,172.58,171.5303
5095,2018-04-04,164.77,172.01,171.61,164.88,170.3491
5094,2018-04-03,164.88,168.7455,168.39,167.64,167.1527
5093,2018-04-02,164.47,168.94,166.68,167.88,165.4553
5092,2018-03-29,166.9,171.75,167.78,167.805,166.5472
5091,2018-03-28,165.19,170.02,166.48,167.25,165.2568
5090,2018-03-27,166.92,175.15,168.34,173.68,167.1031
5089,2018-03-26,166.44,173.1,172.77,168.07,171.5006
5088,2018-03-23,164.94,169.92,164.94,168.39,163.7281
5087,2018-03-22,168.6,172.68,168.85,170.0,167.6094
5086,2018-03-21,171.26,175.09,171.27,175.04,170.0116
5085,2018-03-20,174.94,176.8,175.24,175.24,173.9524
5084,2018-03-19,173.66,177.47,175.3,177.32,174.012
5083,2018-03-16,177.62,179.12,178.02,178.65,176.712
5082,2018-03-15,178.0701,180.24,178.65,178.5,177.3373
5081,2018-03-14,177.81,180.52,178.44,180.32,177.1289
5080,2018-03-13,179.24,183.5,179.97,182.59,178.6476
5079,2018-03-12,180.21,182.39,181.72,180.29,180.3848
5078,2018-03-09,177.39,180.0,179.98,177.96,178.6576
5077,2018-03-08,175.07,177.12,176.94,175.48,175.6399
5076,2018-03-07,174.27,175.85,175.03,174.94,173.7439
5075,2018-03-06,176.13,178.25,176.67,177.91,175.3719
5074,2018-03-05,174.52,177.74,176.82,175.21,175.5208
5073,2018-03-02,172.45,176.3,176.21,172.8,174.9153
5072,2018-03-01,172.66,179.775,175.0,178.54,173.7142
5071,2018-02-28,178.05,180.615,178.12,179.26,176.8112
5070,2018-02-27,178.16,180.48,178.39,179.1,177.0793
5069,2018-02-26,176.21,179.39,178.97,176.35,177.655
5068,2018-02-23,173.54,175.65,175.5,173.67,174.2105
5067,2018-02-22,171.71,173.95,172.5,171.8,171.2325
5066,2018-02-21,171.01,174.12,171.07,172.83,169.813
5065,2018-02-20,171.42,174.26,171.85,172.05,170.5873
5064,2018-02-16,171.77,174.82,172.43,172.36,171.163
5063,2018-02-15,169.0,173.09,172.99,169.79,171.7189
5062,2018-02-14,162.88,167.54,167.37,163.045,166.1402
5061,2018-02-13,161.65,164.75,164.34,161.95,163.1325
5060,2018-02-12,157.51,163.89,162.71,158.5,161.5145
5059,2018-02-09,150.24,157.89,156.41,157.07,155.2608
5058,2018-02-08,155.03,161.0,155.15,160.29,153.3922
5057,2018-02-07,159.0685,163.4,159.54,163.085,157.7324
5056,2018-02-06,154.0,163.72,163.03,154.83,161.1829
5055,2018-02-05,156.0,163.88,156.49,159.1,154.717
5054,2018-02-02,160.1,166.8,160.5,166.0,158.6816
