,Date,Low,High,Close,Open
5245,2018-11-05,18.88,20.18,19.9,20.12
5244,2018-11-02,19.47,21.06,20.23,20.59
5243,2018-11-01,18.08,20.33,20.22,18.41
5242,2018-10-31,17.12,18.34,18.21,17.87
5241,2018-10-30,16.17,17.24,17.2,16.38
5240,2018-10-29,16.27,18.23,16.85,18.21
5239,2018-10-26,17.05,18.78,17.63,18.49
5238,2018-10-25,17.72,20.15,19.27,17.92
5237,2018-10-24,22.75,25.1,22.79,25.04
5236,2018-10-23,23.85,25.26,25.09,24.18
5235,2018-10-22,24.0901,25.64,25.03,24.46
5234,2018-10-19,23.6,27.1,23.66,27.03
5233,2018-10-18,26.4,27.75,26.62,27.08
5232,2018-10-17,26.9199,28.53,27.3,28.41
5231,2018-10-16,26.17,28.23,28.18,26.63
5230,2018-10-15,25.75,26.77,26.26,26.38
5229,2018-10-12,25.67,26.9697,26.34,26.77
5228,2018-10-11,24.55,26.2,25.3,24.74
5227,2018-10-10,24.91,27.4,25.0,27.38
5226,2018-10-09,26.0,27.71,27.24,26.15
5225,2018-10-08,25.96,27.54,26.46,26.73
5224,2018-10-05,26.93,28.47,27.35,28.07
5223,2018-10-04,27.37,28.83,27.78,27.99
5222,2018-10-03,26.54,29.22,28.43,29.035
5221,2018-10-02,28.65,30.82,29.02,30.73
5220,2018-10-01,30.25,31.91,31.42,30.69
5219,2018-09-28,29.98,32.78,30.89,32.24
5218,2018-09-27,31.39,32.63,32.59,31.86
5217,2018-09-26,31.72,32.6,32.19,32.4
5216,2018-09-25,32.19,33.6,32.57,33.18
5215,2018-09-24,30.91,32.65,32.61,31.13
5214,2018-09-21,30.91,32.42,31.02,31.19
5213,2018-09-20,30.64,32.2,31.18,32.1
5212,2018-09-19,30.51,31.83,31.21,31.52
5211,2018-09-18,31.2,33.37,31.93,32.99
5210,2018-09-17,31.6,33.23,32.43,31.75
5209,2018-09-14,30.54,33.09,32.72,31.43
5208,2018-09-13,29.87,34.14,30.48,33.16
5207,2018-09-12,29.45,32.29,32.21,29.91
5206,2018-09-11,29.37,30.59,30.1,30.02
5205,2018-09-10,27.84,29.925,29.89,28.15
5204,2018-09-07,26.8,28.27,27.38,26.96
5203,2018-09-06,27.19,28.58,27.84,28.12
5202,2018-09-05,26.84,29.94,28.51,29.41
5201,2018-09-04,25.5675,28.11,28.06,25.62
5200,2018-08-31,24.72,25.24,25.17,24.89
5199,2018-08-30,24.76,25.67,24.89,25.29
