,Date,Low,High,Close,Open
1258,2018-11-06,33.881,34.81,34.16,33.96
1257,2018-11-05,33.37,34.28,34.02,34.26
1256,2018-11-02,33.85,35.35,34.3,34.87
1255,2018-11-01,33.82,34.91,34.62,34.6
1254,2018-10-31,34.35,35.6373,34.75,34.37
1253,2018-10-30,31.3,34.55,33.86,31.77
1252,2018-10-29,31.62,33.75,32.39,32.46
1251,2018-10-26,30.94,33.1353,32.36,31.2
1250,2018-10-25,30.76,33.67,31.8,31.32
1249,2018-10-24,27.305,29.77,27.54,28.85
1248,2018-10-23,28.07,29.02,28.77,28.48
1247,2018-10-22,28.31,29.28,29.18,29.05
1246,2018-10-19,28.68,29.79,28.83,29.33
1245,2018-10-18,28.975,30.24,29.29,29.4
1244,2018-10-17,28.96,30.14,29.55,29.95
1243,2018-10-16,28.84,29.89,29.87,29.1
1242,2018-10-15,27.59,29.05,28.61,27.85
1241,2018-10-12,27.26,28.17,27.99,28.09
1240,2018-10-11,26.19,27.58,27.0,26.3505
1239,2018-10-10,26.7614,29.12,26.79,29.12
1238,2018-10-09,28.34,29.565,29.27,28.7
1237,2018-10-08,27.72,28.939,28.45,28.21
1236,2018-10-05,27.97,28.96,28.39,28.34
1235,2018-10-04,27.87,28.76,28.23,28.75
1234,2018-10-03,28.25,29.12,29.01,28.38
1233,2018-10-02,27.91,28.62,28.19,28.14
1232,2018-10-01,28.0,28.7,28.31,28.51
1231,2018-09-28,28.41,29.28,28.46,29.25
1230,2018-09-27,28.88,29.69,29.42,29.06
1229,2018-09-26,28.8,29.45,29.01,29.2
1228,2018-09-25,28.44,29.24,29.11,28.75
1227,2018-09-24,27.93,29.115,28.6,28.33
1226,2018-09-21,28.49,29.95,28.5,29.86
1225,2018-09-20,29.24,30.02,29.85,29.7
1224,2018-09-19,28.82,29.56,29.52,29.15
1223,2018-09-18,28.75,29.63,29.22,28.84
1222,2018-09-17,28.43,29.28,28.86,29.05
1221,2018-09-14,30.06,30.77,30.12,30.45
1220,2018-09-13,29.86,30.57,30.39,30.1
1219,2018-09-12,29.25,30.83,29.75,30.61
1218,2018-09-11,30.35,31.44,30.89,30.44
1217,2018-09-10,29.9531,30.6,30.54,30.5
1216,2018-09-07,29.82,31.39,30.49,30.31
1215,2018-09-06,30.62,32.95,30.81,32.86
1214,2018-09-05,32.51,34.7,32.73,34.65
1213,2018-09-04,34.48,35.125,34.84,34.75
1212,2018-08-31,34.59,35.7201,35.18,35.57
1211,2018-08-30,35.21,36.149,35.64,35.27
1210,2018-08-29,34.81,35.6,35.35,35.41
1209,2018-08-28,34.89,36.04,35.49,35.98
1208,2018-08-27,34.48,36.0,35.89,34.66
1207,2018-08-24,33.9279,34.49,34.28,34.0
1206,2018-08-23,33.72,34.74,33.88,33.9
1205,2018-08-22,33.35,34.17,33.81,33.45
1204,2018-08-21,32.6,34.14,33.69,32.75
1203,2018-08-20,32.2,32.94,32.6,32.79
1202,2018-08-17,32.34,33.09,32.73,32.74
1201,2018-08-16,32.415,33.15,32.83,32.7
1200,2018-08-15,31.951,33.23,32.38,32.81
1199,2018-08-14,32.515,33.43,33.19,33.4
1198,2018-08-13,32.02,33.62,32.8,32.04
1197,2018-08-10,31.47,32.25,32.01,31.65
1196,2018-08-09,31.61,32.38,31.96,31.85
1195,2018-08-08,31.81,32.78,31.84,32.75
1194,2018-08-07,32.55,33.61,32.67,33.1
1193,2018-08-06,31.45,33.04,32.98,31.82
1192,2018-08-03,31.8,32.99,31.96,32.58
1191,2018-08-02,31.34,32.87,32.82,31.58
1190,2018-08-01,31.46,32.59,31.91,32.25
1189,2018-07-31,31.07,32.48,31.87,31.95
1188,2018-07-30,31.07,34.26,31.38,34.17
1187,2018-07-27,33.9,37.47,34.12,37.25
1186,2018-07-26,42.14,43.41,42.94,42.87
1185,2018-07-25,42.35,44.39,44.22,42.35
1184,2018-07-24,41.59,43.8,42.17,43.77
1183,2018-07-23,42.4,43.85,43.31,43.45
1182,2018-07-20,43.23,44.13,43.42,43.5
1181,2018-07-19,43.11,43.87,43.44,43.27
1180,2018-07-18,42.74,44.75,43.34,44.19
1179,2018-07-17,43.15,45.26,44.71,43.59
1178,2018-07-16,43.91,44.73,44.26,44.3
1177,2018-07-13,43.93,45.32,44.49,45.28
1176,2018-07-12,44.36,45.34,45.26,44.8
1175,2018-07-11,42.22,44.1,43.87,42.63
1174,2018-07-10,43.63,45.26,43.75,44.2
1173,2018-07-09,42.08,46.9,44.14,46.74
1172,2018-07-06,44.61,46.75,46.65,44.91
1171,2018-07-05,43.55,45.11,45.06,44.07
1170,2018-07-03,43.8,45.48,43.89,45.36
1169,2018-07-02,42.75,45.0,44.98,43.06
1168,2018-06-29,43.56,45.2,43.67,45.05
1167,2018-06-28,42.49,44.84,44.79,43.65
1166,2018-06-27,43.68,46.22,43.7,45.5
1165,2018-06-26,43.51,45.32,44.84,44.36
1164,2018-06-25,43.325,45.52,44.17,45.47
1163,2018-06-22,44.5,46.01,45.88,45.58
1162,2018-06-21,44.2,46.87,45.24,46.36
1161,2018-06-20,45.4401,46.92,46.13,45.56
1160,2018-06-19,43.57,45.71,44.95,45.19
1159,2018-06-18,44.5,46.2564,46.0,45.335
1158,2018-06-15,45.64,47.79,45.8,46.62
1157,2018-06-14,44.5,46.8,46.76,44.55
